BASE_DATE,ADM_CD,ADM_NM
"20220630","21110710",금성동
"20220630","21110720",서3동
"20220630","21110730",금사회동동
"20220630","21110740",장전2동
"20220630","21120510",대저1동
"20220630","21120520",대저2동
"20220630","21120530",강동동
"20220630","21120550",가락동
"20220630","21120560",녹산동
"20220630","21120580",가덕도동
"20220630","21120590",명지1동
"20220630","21120600",명지2동
"20220630","21130510",거제1동
"20220630","21130520",거제2동
"20220630","21130530",거제3동
"20220630","21130540",거제4동
"20220630","21130550",연산1동
"20220630","21130560",연산2동
"20220630","21130570",연산3동
"20220630","21130580",연산4동
"20220630","21130590",연산5동
"20220630","21130600",연산6동
"20220630","21130620",연산8동
"20220630","21130630",연산9동
"20220630","21140510",남천1동
"20220630","21140520",남천2동
"20220630","21140530",수영동
"20220630","21140540",망미1동
"20220630","21140550",망미2동
"20220630","21140560",광안1동
"20220630","21140570",광안2동
"20220630","21140580",광안3동
"20220630","21140590",광안4동
"20220630","21140600",민락동
"20220630","21150510",삼락동
"20220630","21150520",모라1동
"20220630","21150540",모라3동
"20220630","21150550",덕포1동
"20220630","21150560",덕포2동
"20220630","21150570",괘법동
"20220630","21150600",주례1동
"20220630","21150610",주례2동
"20220630","21150620",주례3동
"20220630","21150630",학장동
"20220630","21150640",엄궁동
"20220630","21150650",감전동
"20220630","21510110",기장읍
"20220630","21510120",장안읍
"20220630","21510130",정관읍
"20220630","21510111",일광읍
"20220630","21510330",철마면
"20220630","22010540",삼덕동
"20220630","22010560",성내1동
"20220630","22010590",성내2동
"20220630","22010610",성내3동
"20220630","22010620",대신동
"20220630","22010640",남산1동
"20220630","22010650",남산2동
"20220630","22010660",남산3동
"20220630","22010670",남산4동
"20220630","22010680",대봉1동
"20220630","22010690",대봉2동
"20220630","22010700",동인동
"20220630","22020510",신암1동
"20220630","22020520",신암2동
"20220630","22020530",신암3동
"20220630","22020540",신암4동
"20220630","22020550",신암5동
"20220630","22020560",신천1·2동
"20220630","22020580",신천3동
"20220630","22020590",신천4동
"20220630","22020600",효목1동
"20220630","22020610",효목2동
"20220630","22020620",도평동
"20220630","22020630",불로·봉무동
"20220630","22020650",지저동
"20220630","22020660",동촌동
"20220630","22020680",방촌동
"20220630","22020690",해안동
"20220630","22020710",공산동
"20220630","22020730",안심1동
"20220630","22020740",안심2동
"20220630","22020760",안심3동
"20220630","22020770",안심4동
"20220630","22020780",혁신동
"20220630","22030510",내당1동
"20220630","22030520",내당2·3동
"20220630","22030530",내당4동
"20220630","22030540",비산1동
"20220630","22030550",비산2·3동
"20220630","22030560",비산4동
"20220630","22030570",비산5동
"20220630","22030580",비산6동
"20220630","22030590",비산7동
"20220630","22030600",평리1동
"20220630","22030610",평리2동
"20220630","22030620",평리3동
"20220630","22030630",평리4동
"20220630","22030640",평리5동
"20220630","22030650",평리6동
"20220630","22030660",상중이동
"20220630","22030680",원대동
"20220630","22040510",이천동
"20220630","22040530",봉덕1동
"20220630","22040540",봉덕2동
"20220630","22040550",봉덕3동
"20220630","22040560",대명1동
"20220630","22040570",대명2동
"20220630","22040580",대명3동
"20220630","22040590",대명4동
"20220630","22040600",대명5동
"20220630","22040610",대명6동
"20220630","22040640",대명9동
"20220630","22040650",대명10동
"20220630","22040660",대명11동
"20220630","22050510",고성동
"20220630","22050520",칠성동
"20220630","22050550",침산1동
"20220630","22050560",침산2동
"20220630","22050570",침산3동
"20220630","22050610",산격1동
"20220630","22050620",산격2동
"20220630","22050630",산격3동
"20220630","22050640",산격4동
"20220630","22050650",복현1동
"20220630","22050660",복현2동
"20220630","22050700",검단동
"20220630","22050710",무태조야동
"20220630","22050740",태전2동
"20220630","22050750",관문동
"20220630","22050760",읍내동
"20220630","22050770",관음동
"20220630","22050780",태전1동
"20220630","22050790",구암동
"20220630","22050810",노원동
"20220630","22050820",동천동
"20220630","22050830",국우동
"20220630","22050840",대현동
"20220630","22060510",범어1동
"20220630","22060520",범어2동
"20220630","22060530",범어3동
"20220630","22060540",범어4동
"20220630","22060550",만촌1동
"20220630","22060560",만촌2동
"20220630","22060570",만촌3동
"20220630","22060580",수성1가동
"20220630","22060590",수성2·3가동
"20220630","22060600",수성4가동
"20220630","22060610",황금1동
"20220630","22060620",황금2동
"20220630","22060630",중동
"20220630","22060640",상동
